Province,District,Constituency,Winner,Candidate,Votes,Margin,Wikipedia
3,Kathmandu,Kathmandu 4,NC,"गगन कुमार थापा",44039,0.1691,"https://en.wikipedia.org/wiki/Kathmandu_4_constituency"
3,Kathmandu,Kathmandu 5,NC,"प्रदीप पौडेल",44316,0.114609,"https://en.wikipedia.org/wiki/Kathmandu_5_constituency"
3,Kathmandu,Kathmandu 6,RSP,"शिशिर  खनाल",37411,0.141776,"https://en.wikipedia.org/wiki/Kathmandu_6_constituency"
3,Kathmandu,Kathmandu 7,RSP,"गणेश पराजुली",36061,0.053881,"https://en.wikipedia.org/wiki/Kathmandu_7_constituency"
3,Kathmandu,Kathmandu 8,RSP,"विराज भक्त श्रेष्ठ",30674,0.128219,"https://en.wikipedia.org/wiki/Kathmandu_8_constituency"
3,Kathmandu,Kathmandu 9,UML,"कृष्ण गोपाल श्रेष्ठ",42517,0.023402,"https://en.wikipedia.org/wiki/Kathmandu_9_constituency"
3,Kathmandu,Kathmandu 10,NC,"राजेन्द्र कुमार के.सी.",51155,0.052233,"https://en.wikipedia.org/wiki/Kathmandu_10_constituency"
3,Kavrepalanchok,Kavrepalanchok 1,Maoist,"सुर्य मान तामाङ (दोङ)",79046,0.050148,"https://en.wikipedia.org/wiki/Kavrepalanchok_1_constituency"
3,Kavrepalanchok,Kavrepalanchok 2,UML,"गोकुल प्रसाद वाँस्कोटा",99225,0.059088,"https://en.wikipedia.org/wiki/Kavrepalanchok_2_constituency"
3,Lalitpur,Lalitpur 1,NC,"उदय शंशेर ज.ब.राणा",48781,0.094586,"https://en.wikipedia.org/wiki/Lalitpur_1_constituency"
3,Lalitpur,Lalitpur 2,UML,"प्रेम बहादुर महर्जन",51355,0.11954,"https://en.wikipedia.org/wiki/Lalitpur_2_constituency"
3,Lalitpur,Lalitpur 3,RSP,"तोसीमा कार्की",58145,0.312546,"https://en.wikipedia.org/wiki/Lalitpur_3_constituency"
3,Makwanpur,Makwanpur 1,RPP,"दिपक बहादुर सिंह",87174,0.027382,"https://en.wikipedia.org/wiki/Makwanpur_1_constituency"
3,Makwanpur,Makwanpur 2,UML,"महेश कुमार वर्तौला",82294,0.054901,"https://en.wikipedia.org/wiki/Makwanpur_2_constituency"
3,Nuwakot,Nuwakot 1,Maoist,"हित बहादुर तामाङ",60021,0.051365,"https://en.wikipedia.org/wiki/Nuwakot_1_constituency"
3,Nuwakot,Nuwakot 2,NC,"अर्जुन नरसिंह के.सी.",63004,0.184591,"https://en.wikipedia.org/wiki/Nuwakot_2_constituency"
3,Ramechhap,Ramechhap 1,NC,"पुर्ण वहादुर तमाङ्ग",83899,0.195104,"https://en.wikipedia.org/wiki/Ramechhap_1_constituency"
3,Rasuwa,Rasuwa 1,NC,"मोहन आचार्य",27427,0.350786,"https://en.wikipedia.org/wiki/Rasuwa_1_constituency"
3,Sindhuli,Sindhuli 1,NC,"श्‍याम कुमार घिमिरे",60420,0.080189,"https://en.wikipedia.org/wiki/Sindhuli_1_constituency"
3,Sindhuli,Sindhuli 2,Maoist,"लेख नाथ दाहाल",53491,0.10899,"https://en.wikipedia.org/wiki/Sindhuli_2_constituency"
3,Sindhupalchok,Sindhupalchok 1,Maoist,"माधव सापकोटा",66028,0.050615,"https://en.wikipedia.org/wiki/Sindhupalchok_1_constituency"
3,Sindhupalchok,Sindhupalchok 2,NC,"मोहन बहादुर बस्नेत",73622,0.161175,"https://en.wikipedia.org/wiki/Sindhupalchok_2_constituency"
